"Position","Title and Authors","Resource Link","Thumbnail Image"
41,"Ứng dụng phương pháp tính toán biểu tượng xác định công thức giải tích của phản lực gối đỡ hệ trục tàu thủy /Cao Đức Thiệp, Lê Đình Dũng, Bùi Thị Hằng [02-04-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=21&material_type=2&dmd_id=239550","https://thuvien.ntu.edu.vn/images/no-image.png"
42,"Nghiên cứu phát triển mô hình động học cho robot dẫn động vi sai /Vũ Xuân Hậu [02-04-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=21&material_type=2&dmd_id=239549","https://thuvien.ntu.edu.vn/images/no-image.png"
43,"Developing a labview-based software for vital signals monitoring /Lê Đăng Khanh, Lê Văn Diễm [02-04-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=21&material_type=2&dmd_id=239548","https://thuvien.ntu.edu.vn/images/no-image.png"
44,"Nghiên cứu tính toán dây neo phao có vật treo bằng phương pháp phần tử hữu hạn /Đào Văn Tuấn [02-04-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=21&material_type=2&dmd_id=239547","https://thuvien.ntu.edu.vn/images/no-image.png"
45,"Ứng dụng UAV trong công tác kiểm tra và phát hiện hư hại của cầu đường bộ /Phạm Trung Minh, Nguyễn Cảnh Toàn [02-04-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=21&material_type=2&dmd_id=239546","https://thuvien.ntu.edu.vn/images/no-image.png"
46,"Nghiên cứu triển khai các giải pháp đảm bảo an toàn chạy tàu tận dụng lớp bùn loãng tại luồng ra/vào Trung tâm Điện lực Duyên Hải /Mai Bá Lĩnh [02-04-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=21&material_type=2&dmd_id=239545","https://thuvien.ntu.edu.vn/images/no-image.png"
47,"Phân tích lực cắt trong quá trình gia công rãnh vi mô bằng phương pháp phần tử hữu hạn /Trần Ánh Viên [02-04-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=21&material_type=2&dmd_id=239544","https://thuvien.ntu.edu.vn/images/no-image.png"
48,"Nghiên cứu thuật toán và xây dựng chương trình dựng bản vẽ 3D chong chóng tàu thủy /Nguyễn Văn Quyết, Vũ Văn Tuyển [02-04-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=21&material_type=2&dmd_id=239543","https://thuvien.ntu.edu.vn/images/no-image.png"
49,"Tính toán thiết kế và kiểm bền chi tiết dầm chính cổng trục đẩy tay tải trọng một tấn bằng phương pháp phần tử hữu hạn /Lê Huỳnh Đức, Nguyễn Đình Minh Quân, Nguyễn Ngọc Nhật [02-04-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=21&material_type=2&dmd_id=239541","https://thuvien.ntu.edu.vn/images/no-image.png"
50,"Trường Cao đẳng GTVT Trung ương I - địa chỉ đào tạo nghề chất lượng cao /Bảo Châu [02-04-2026]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=21&material_type=2&dmd_id=239540","https://thuvien.ntu.edu.vn/images/no-image.png"
