"Position","Book Title and Authors","Book Details Link","Book Thumbnail"
37,"Phương pháp nghiên cứu khoa học trong nuôi trồng thủy sản /Lê Minh Hoàng [20-12-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=214728","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/630_nongnghiep_congnghelienhe/baigiangphuongphapnghiencuukhoahoctrongntts_leminhhoang/0baigiangphuongphapnghiencuukhoahoctrongntts_leminhhoang_001thumbimage.jpg"
38,"Hướng dẫn bài tập chuyên ngành Kỹ thuật tàu thủy /Phạm Thanh Nhựt [20-12-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=214727","https://thuvien.ntu.edu.vn/ntukiposdata10/sachdientu/tiengviet/600_khoahocungdung_congnghe/620_congnghe_hoatdonglienhe/huongdanbaitapchuyennganhkttt-phamthanhnhat/huongdanbaitapchuyennganhkttt-phamthanhnhat_001thumbimage.jpg"
39,"Lý thuyết tài chính - tiền tệ /Võ Văn Cần (chủ biên) và tập thể bộ môn Tài chính - Ngân hàng [16-12-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=214294","https://thuvien.ntu.edu.vn/ntukiposdata10/anhbia/lythuyettaichinhtiente_vovancanthumbimage.jpg"
40,"Bài giảng pháp luật về hàng hải :Phần II /Bộ môn hàng hải [06-11-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=210368","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/300_khoahocxahoi/340_luathoc/bgphapluatvehanghaiphanii__bomohanghai/bgphapluatvehanghaiphanii__bomohanghai_01thumbimage.jpg"
41,"Bài giảng pháp luật hàng hải :Phần I /Bộ môn hàng hải [06-11-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=210353","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/300_khoahocxahoi/340_luathoc/bgphapluatvehanghaiphani__bomohanghai/bgphapluatvehanghaiphani__bomohanghai_01thumbimage.jpg"
42,"Bài giảng an toàn cho người và tàu cá /Nguyễn Đức Sĩ [06-11-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=210337","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/300_khoahocxahoi/360_vandexahoi_cuute_doanthe/bgantoanchonguoivatauca_nguyenducsi/bgantoanchonguoivatauca_nguyenducsi_001thumbimage.jpg"
43,"Bài giảng nghiệp vụ thuyền viên /Trần Đức Phú, Vũ Như Tân [06-11-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=210315","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/620_congnghe_hoatdonglienhe/bgnghiepvuthuvien_phutan/bgnghiepvuthuvien_phutan_01thumbimage.jpg"
44,"Kiểm tra khuyết tật kết cấu bê tông bằng phương pháp nhiệt hồng ngoại :Sách chuyên khảo /Trần Quang Huy [27-08-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=206265","https://thuvien.ntu.edu.vn/ntukiposdata10/sachdientu/tiengviet/600_khoahocungdung_congnghe/620_congnghe_hoatdonglienhe/kiemtrakhuyettatketcaubetongnhiethongngoai_tranquanghuy/0page_001thumbimage.jpg"
45,"Ứng dụng VISSIM trong mô hình dòng giao thông /Trần Quang Duy (Chủ biên) và các tác giả khác [27-08-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=206263","https://thuvien.ntu.edu.vn/ntukiposdata10/anhbia/ungdungvissim_tranquangduythumbimage.jpg"
46,"Thiết kế công trình kháng chấn bằng phương pháp phổ phản ứng dao động /Trần Quang Huy (chủ biên), Đặng Quốc Mỹ, Lê Thanh Cao [23-08-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=206255","https://thuvien.ntu.edu.vn/ntukiposdata10/sachdientu/tiengviet/600_khoahocungdung_congnghe/620_congnghe_hoatdonglienhe/thietkecongtrinhkhangchan_tranquanghuy/0page_001thumbimage.jpg"
47,"Marketing dịch vụ công /Nguyễn Hoài Long [30-05-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=204289","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/650_quanly_dichvuphuthuoc/marketingdichvucong_nguyenhoailong/0marketingdichvucong_nguyenhoailong_001thumbimage.jpg"
48,"Destination management/ Nguyen Thanh Quang, Le Chi Cong [04-05-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=203082","https://thuvien.ntu.edu.vn/ntukiposdata10/sachdientu/tienganh/900_dialy_lichsu/910_dialy_dulich/baigiangquanlydiemden/0baigiangqldiemden_001thumbimage.jpg"
49,"Quản trị kinh doanh lữ hành [15-04-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=201996","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/600_khoahocungdung_congnghe/650_quanly_dichvuphuthuoc/baigiangquantrikinhdoanhluhanh/0baigiangquantrikinhdoanhluhanh_001thumbimage.jpg"
50,"Luật du lịch Việt Nam và Quốc tế /Bộ môn Quản trị du lịch Dịch vụ và Lữ hành [12-04-2024]","https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=14&material_type=2&dmd_id=201966","https://thuvien.ntu.edu.vn/ntukiposdata10/giaotrinh_baigiangtruong/300_khoahocxahoi/340_luathoc/baigiangluatdulichvietnamvaquocte/0page_001thumbimage.jpg"
