url,title,alternative_title,publisher_info,journal_info,year,pages,ddc,authors,subjects,type
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=234299,Infographics for dummies /Justin Beegel,,"Hoboken, New Jersey :John Wiley & Sons, Inc.,2014",,2014.0,"x, 306 pages :illustrations ;24 cm",302.23,"Beegel, Justin::author",Presentation graphics software|Visual communication|Information visualization,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=234267,Networking for dummies /Doug Lowe,,"Indianapolis :John Wiley and Sons,2020",,2020.0,454 p. :ill.,4.6,"Lowe, Doug::author",Computer networks,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=234266,Oats :Chemistry and technology /edited by Francis H. Webster and Peter J. Wood,,"St. Paul, Minn. :American Association of Cereal Chemists International,2011",,2011.0,"xii, 376 p. :ill. ;29 cm",664.725,"Webster, Francis H.::contributor|Wood, Peter J.::contributor",Oats|Oats- Processing,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=234252,"Big data, little data, no data :Scholarship in the networked world /Christine L. Borgman",,"Cambridge, Massachusetts :The MIT Press,2015",,2015.0,"xxv, 383 pages ;24 cm",4.0,"Borgman, Christine L.::author",Communication in learning and scholarship|Research- Data processing|Information technology,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=234240,Trading futures for dummies /Joe Duarte,,"Hoboken, N.J. :Wiley Pub.,2008",,2008.0,"xviii, 364 p. :ill. ;24 cm",332.64,"Duarte, Joe::author",Options (Finance)|Futures,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=234179,"Cognitive computing and big data analytics /Judith Hurwitz, Marcia Kaufman, Adrian Bowles",,"Indianapolis, IN :Wiley,2015",,2015.0,"xxi, 266 pages :illustrations ;24 cm",6.3,"Hurwitz, Judith::author|Kaufman, Marcia::contributor|Bowles, Adrian::contributor",Cognitive science|Human-computer interaction|Artificial intelligence,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=234177,Big data MBA :Driving business strategies with data science /Bill Schmarzo,,"Indianapolis :John Wiley & Sons, Inc.,2016",,2016.0,"xxvii, 283 pages :illustrations ;23 cm",658.4,"Schmarzo, Bill::author",Business intelligence|Big data|Data mining,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=234139,Too big to ignore :The business case for big data /Phil Simon,,"Hoboken, New Jersey :John Wiley & Sons, Inc.,2013",,2013.0,231 p. :ill.,6.3,"Simon, Phil::author",Big data|Database management|Data mining,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=234134,"Big data, big innovation :Enabling competitive differentiation through business analytics /Evan Stubbs",,"Hoboken, New Jersey :Wiley,2014",,2014.0,"xvii, 232 pages :illustrations ;24 cm",658.4,"Stubbs, Evan::author",Business planning|Big data|Strategic planning,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=234133,Being right or making money /Ned Davis,,"Hoboken, New Jersey :John Wiley and Sons, Inc.,2014",,2014.0,"xvii, 231 pages :ill. ;23 cm",332.6,"Davis, Ned::author",Investments|Investment analysis,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=234087,"Solvent effects in chemistry /Erwin Buncel, Robert A. Stairs",,"Hoboken, New Jersey :Wiley,2016",,2016.0,"xi, 227 pages :illustrations ;25 cm",541.34,"Buncel, Erwin::author|Stairs, Robert A.::contributor",Chemical reactions|Solvation|Solvents,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=234068,"Practical centrifugal pumps :Design, operation and maintenance /Paresh Girdhar, Octo Moniz",,"Burlington, MA :Elsevier,2005",,2005.0,250 p. :ill.,621.6,"Girdhar, Paresh::author|Moniz, Octo::contributor",Centrifugal pumps,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=234064,Stochastic processes and models /David Stirzaker,,"Oxford :Oxford University Press,2005",,2005.0,"vi, 331 p. :ill. ;25 cm",519.2,"Stirzaker, David::author",Stochastic processes|Stochastic models,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=234056,"Managing risk of supply chain disruptions /Tong Shu, Shou Chen, Kin Keung Lai, Xizheng Zhang, and Shouyang Wang",,"Abingdon, Oxon :Routledge, Taylor & Francis Group,2014",,2014.0,199 p. ;24 cm,658.7,"Shu,Tong::author|Lai, Kin Keung::contributor|Chen, Shou::contributor|Zhang, Xizheng::contributor|Wang, Shouyang::contributor",Business logistics|Risk management,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=234027,Professional ethics for the construction industry /Rebecca Mirsky and John Schaufelberger,,"New York, NY :Routledge,2015",,2015.0,"x, 140 pages :illustrations ;24 cm",174.96,"Mirsky, Rebecca::author|Schaufelberger, John::contributor",Architects and builders|Construction industry|Construction workers,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=234019,Logistics and supply chain integration /Ian Sadler,,"London :Sage,2007",,2007.0,"xxii, 259 p. :ill. ;25 cm",658.5,"Sadler, Ian::author",Business logistics,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=233998,"Information technology investment :Decision-making methodology /Marc J. Schniederjans, Jamie L. Hamaker, Ashlyn M. Schniederjans",,"River Edge, N.J. :World Scientific,2004",,2004.0,"xxvi, 389 p. :ill. ;24 cm",4.068,"Schniederjans, Marc J.::author|Hamaker, Jamie L.::contributor|Schniederjans, Ashlyn M.::contributor",Information technology,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=233985,The cloud-based demand-driven supply chain /Vinit Sharma,,"Hoboken, New Jersey :John Wiley & Sons,2019",,2019.0,311 p. :ill.,658.70285,"Sharma, Vinit::author",Business logistics|Cloud computing- Industrial applications|Supply and demand- Management,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=233896,"Perfect selling :Open the door, close the deal /Linda Richardson",,"New York :McGraw-Hill,2008",,2008.0,"xxx, 174 p. :ill. ;19 cm",658.85,"Richardson, Linda::author",Interpersonal communication|Selling,book
https://thuvien.ntu.edu.vn/Opac/DmdInfo.aspx?mnuid=146&collection_id=12&material_type=2&dmd_id=233889,Managing complex projects :A new model /Kathleen B. Hass,,"Vienna, VA :Management Concepts,2009",,2009.0,"xxiv, 298 p. ;25 cm",658.4,"Hass, Kathleen B.::author",Project management,book
